iter	Passed	Remaining
216	9831	155584
217	9881	155604
218	9929	155612
219	9968	155460
220	10012	155402
221	10055	155309
222	10092	155136
223	10139	155126
224	10176	154950
225	10225	154965
226	10264	154823
227	10306	154739
228	10356	154765
229	10417	154954
230	10457	154825
231	10498	154716
232	10531	154492
233	10576	154440
234	10610	154242
235	10669	154385
236	10716	154368
237	10760	154316
238	10798	154164
239	10842	154104
240	10887	154052
241	10924	153896
242	10967	153821
243	11011	153759
244	11064	153812
245	11107	153737
246	11149	153655
247	11191	153562
248	11239	153561
249	11280	153457
250	11325	153418
251	11376	153448
252	11418	153353
253	11461	153292
254	11515	153357
255	11557	153275
256	11607	153291
257	11648	153197
258	11699	153217
259	11748	153224
260	11799	153261
261	11851	153298
262	11897	153262
263	11944	153247
264	11985	153142
265	12029	153088
266	12073	153019
267	12112	152894
268	12155	152828
269	12198	152753
270	12255	152849
271	12299	152788
272	12342	152722
273	12388	152687
274	12434	152649
275	12483	152655
276	12534	152671
277	12582	152665
278	12627	152614
279	12681	152672
280	12735	152732
281	12776	152644
282	12828	152678
283	12878	152685
284	12920	152592
285	12973	152642
286	13008	152472
287	13050	152394
288	13096	152356
289	13136	152246
290	13182	152209
291	13227	152164
292	13280	152207
293	13323	152130
294	13376	152170
295	13409	151989
296	13455	151951
297	13492	151811
298	13536	151752
299	13579	151685
300	13626	151655
301	13684	151751
302	13737	151790
303	13786	151782
304	13833	151764
305	13880	151735
306	13916	151590
307	13965	151579
308	14010	151526
309	14057	151503
310	14109	151533
311	14160	151542
312	14201	151453
313	14251	151458
314	14295	151392
315	14341	151353
316	14385	151299
317	14442	151375
318	14481	151265
319	14521	151159
320	14565	151101
321	14612	151074
322	14653	150976
323	14697	150918
324	14739	150846
325	14790	150855
326	14837	150825
327	14880	150756
328	14925	150704
329	14965	150603
330	15008	150535
331	15050	150460
332	15093	150394
333	15143	150397
334	15196	150419
335	15242	150380
336	15292	150384
337	15334	150307
338	15381	150280
339	15428	150246
340	15479	150252
341	15519	150156
342	15568	150148
343	15608	150052
344	15650	149976
345	15698	149952
346	15739	149864
347	15789	149867
348	15830	149780
349	15876	149733
350	15927	149747
351	15972	149699
352	16022	149695
353	16060	149582
354	16110	149582
355	16158	149553
356	16202	149498
357	16249	149467
358	16294	149422
359	16339	149369
360	16386	149340
361	16432	149301
362	16479	149269
363	16513	149117
364	16555	149042
365	16602	149010
366	16655	149034
367	16704	149020
368	16758	149051
369	16805	149026
370	16863	149087
371	16912	149072
372	16950	148968
373	17002	148976
374	17037	148843
375	17084	148808
376	17125	148726
377	17162	148604
378	17206	148547
379	17251	148500
380	17301	148490
381	17341	148405
382	17377	148280
383	17421	148220
384	17462	148138
385	17510	148114
386	17555	148064
387	17600	148014
388	17645	147970
389	17698	147987
390	17742	147927
391	17785	147862
392	17822	147746
393	17879	147797
394	17929	147794
395	17976	147759
396	18026	147757
397	18073	147719
398	18111	147619
399	18147	147492
400	18192	147443
